IMPORTANT NOTES,
"To meet the highest ASHA standards for your thesis, we need to categorize words by Developmental Acquisition.",Gemini Research Link
Age 4 Bracket (Early Acquisition),"Focus: Mastering stops, nasals, and glides. Eliminating Final Consonant Deletion and Fronting."
Age 5 Bracket (Consonant Harmony),"Focus: Eliminating Cluster Reduction and ""Stopping"" of early fricatives (/f/, /s/)."
Age 6–7 Bracket (Late Fricatives & Liquids),Focus: Mastery of the most difficult sounds. Gliding should be disappearing.
Age 8 Bracket (Complex Integration),"Focus: Perfecting ""th"" sounds and multisyllabic complexity. By 8, speech is adult-like."
,
PHONOLOGICAL PROCESSES,
Substitution Processes (One sound replaces another),
Backing,A sound produced in the front (like /t/) is moved to the back (/k/).
Fronting,"A back sound (/k, g/) is moved to the front (/t, d/)."
Gliding,"Liquid sounds (/r, l/) are replaced by glides (/w, y/)."
Stopping,"A ""fricative"" (hissing sound like /s, f/) is replaced by a ""stop"" (/t, p/)."
Vowelization,An /l/ or /er/ sound at the end of a word is replaced by a vowel.
Deaffrication,"An ""affricate"" (like /ch, j/) is replaced by a ""fricative"" (like /sh, s/)."
Palatal Fronting,"A ""palatal"" sound (like /sh/) is moved forward to the teeth (like /s/)."
"Syllable Structure Processes (The ""Shape"" of the word changes)",
Cluster Reduction,"Deleting one or more consonants from a ""blend."""
Final Consonant Deletion (FCD),Deleting the very last sound of a word.
Initial Consonant Deletion,Deleting the first sound.
Weak Syllable Deletion,Deleting the unstressed syllable in a long word.
"Assimilation Processes (Sounds ""Copy"" each other)",
Reduplication,Repeating a whole syllable.
Consonant Harmony,One consonant changes to match another.
Voicing,A voiceless sound (like /p/) is replaced by a voiced sound (like /b/).
Devoicing,A voiced sound (like /g/) is replaced by a voiceless sound (like /k/).
