ID=#000 ask | Word=ask | Type=Cluster Reduction | Expected=æ,s,k -> Child=æ,k | Detail=/s/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/s/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#001 belt | Word=belt | Type=Cluster Reduction | Expected=b,ɛ,l,t -> Child=b,ɛ,t | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#002 black | Word=black | Type=Cluster Reduction | Expected=b,l,æ,k -> Child=b,æ,k | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#003 blue | Word=blue | Type=Cluster Reduction | Expected=b,l,u -> Child=b,u | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#004 box | Word=box | Type=Cluster Reduction | Expected=b,ɑ,k,s -> Child=b,ɑ,s | Detail=/k/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/k/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/k/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#005 bread | Word=bread | Type=Cluster Reduction | Expected=b,r,ɛ,d -> Child=b,ɛ,d | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#006 bump | Word=bump | Type=Cluster Reduction | Expected=b,ʌ,m,p -> Child=b,ʌ,p | Detail=/m/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/m/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/m/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#007 clean | Word=clean | Type=Cluster Reduction | Expected=k,l,i,n -> Child=k,i,n | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#008 cloud | Word=cloud | Type=Cluster Reduction | Expected=k,l,aʊ,d -> Child=k,aʊ,d | Detail=/l/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/l/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/l/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#009 crab | Word=crab | Type=Cluster Reduction | Expected=k,r,æ,b -> Child=k,æ,b | Detail=/r/ deleted (-> Ø) in cluster | ExpectedPos=Initial | Detected=Cluster Reduction | Positions=['Initial'] | Details=['/r/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/r/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
ID=#010 desk | Word=desk | Type=Cluster Reduction | Expected=d,ɛ,s,k -> Child=d,ɛ,k | Detail=/s/ deleted (-> Ø) in cluster | ExpectedPos=Final | Detected=Cluster Reduction | Positions=['Final'] | Details=['/s/ deleted (-> Ø) in cluster'] | WhatWentWrong=None | ExpectedDetail=/s/ deleted (-> Ø) in cluster | Logic=detection/detectors/deletion.py:17 (detect_cluster_reduction) | Status=Flagged Error
