phoneme,place
n,Alveolar
s,Alveolar
t,Alveolar
l,Alveolar
k,Velar
d,Alveolar
m,Bilabial
ɾ,Alveolar
p,Bilabial
z,Alveolar
ð,Dental
f,Labiodental
j,Palatal
v,Labiodental
b,Bilabial
ɹ,Postalveolar
ʁ,Velar
iː,Palatal
r,Alveolar
w,Bilabial
ɡ,Velar
ʃ,Postalveolar
h,Glottal
ɑː,Velar
ŋ,Velar
β,Bilabial
uː,Bilabial
y,Bilabial
ɑ̃,Velar
θ,Dental
ts,Alveolar
oː,Velar
ɔ̃,Velar
ɣ,Velar
ɜ,Velar
dʒ,Postalveolar
x,Velar
ɜː,Velar
ç,Palatal
ʒ,Postalveolar
tʃ,Postalveolar
ɔː,Velar
ʎ,Palatal
ʋ,Labiodental
aː,Velar
ɕ,Postalveolar
ɲ,Palatal
yː,Bilabial
ʔ,Glottal
s.,Alveolar
tɕ,Postalveolar
nʲ,Alveolar
ɭ,Alveolar
ʑ,Postalveolar
tʲ,Alveolar
ɨ,Velar
ts.,Alveolar
rʲ,Alveolar
ɭʲ,Alveolar
q,Velar
sʲ,Alveolar
ʕ,Velar
th,Alveolar
dʲ,Alveolar
tɕh,Postalveolar
ts.h,Alveolar
mʲ,Bilabial
ɯ,Velar
dʑ,Postalveolar
vʲ,Labiodental
tʃʲ,Postalveolar
kh,Velar
ʐ,Alveolar
ʉ,Bilabial
ħ,Velar
t[,Alveolar
pː,Bilabial
y5,Bilabial
tː,Alveolar
d[,Alveolar
tsh,Alveolar
ɵ,Bilabial
ɟ,Palatal
ä,Velar
pʲ,Bilabial
kʲ,Velar
n̩,Alveolar
ɒ,Velar
ph,Bilabial
ɫ,Alveolar
ɬ,Alveolar
bʲ,Bilabial
s̪,Dental
χ,Velar
ɨː,Velar
t̪,Dental
ũ,Bilabial
o̞,Velar
c,Palatal
kː,Velar
y2,Bilabial
ɖ,Alveolar
dˤ,Alveolar
S,Postalveolar
ɡʲ,Velar
ʈ,Alveolar
ɯᵝ,Velar
dZ,Postalveolar
r̝̊,Alveolar
tS,Postalveolar
s^,Postalveolar
ʝ,Palatal
pf,Labiodental
fʲ,Labiodental
r̝,Alveolar
ɳ,Alveolar
ɽ,Alveolar
bː,Bilabial
l̩,Alveolar
ɻ,Alveolar
ʂ,Alveolar
dː,Alveolar
r̩,Alveolar
ɴ,Velar
tʃː,Postalveolar
N,Velar
qː,Velar
y:,Bilabial
kʰ,Velar
tʃʰ,Postalveolar
õ,Velar
tʰ,Alveolar
bʰ,Bilabial
s̪ː,Dental
dʰ,Alveolar
r.,Alveolar
ɟː,Palatal
nʲʲ,Alveolar
tsʲ,Alveolar
ɸ,Bilabial
ĩ,Palatal
t̪ː,Dental
tsː,Alveolar
ʈʰ,Alveolar
ɡʰ,Velar
ɯɯ,Velar
dʒʲ,Postalveolar
ʂʲ,Alveolar
ɵː,Bilabial
tɕʲ,Postalveolar
ã,Velar
cː,Palatal
dˤdˤ,Alveolar
dʒː,Postalveolar
ɡː,Velar
ɕʲ,Postalveolar
ɟʰ,Palatal
pʰ,Bilabial
dʑʲ,Postalveolar
ʊː,Velar
cʰ,Palatal
ɖʰ,Alveolar
ʒʲ,Postalveolar
ää,Velar
ɪː,Palatal
cʰcʰ,Palatal
ũ,Bilabial
kʰː,Velar
o̞o̞,Velar
xʲ,Velar
y1,Bilabial
dzː,Alveolar
dʲʲ,Alveolar
dʰː,Alveolar
ɯᵝɯᵝ,Velar
lː,Alveolar
